team,winner,winner_pct,winner_tier,fifa_rank_pre_tournament,rank_tier,fifa_points_pre_tournament,continent,prediction_summary,team_display
"France",0.165,16.5,favorite,1,elite,1877.32,"Europe","France: 16.5% win (Rank #1)","France 🇫🇷"
"Spain",0.15,15,favorite,2,elite,1876.4,"Europe","Spain: 15% win (Rank #2)","Spain 🇪🇸"
"Argentina",0.12,12,top_contender,3,elite,1874.81,"South America","Argentina: 12% win (Rank #3)","Argentina 🇦🇷"
"England",0.12,12,top_contender,4,elite,1825.97,"Europe","England: 12% win (Rank #4)","England 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
"Portugal",0.105,10.5,top_contender,5,elite,1763.83,"Europe","Portugal: 10.5% win (Rank #5)","Portugal 🇵🇹"
"Brazil",0.15,15,favorite,6,strong,1761.16,"South America","Brazil: 15% win (Rank #6)","Brazil 🇧🇷"
"Netherlands",0.075,7.5,dark_horse,7,strong,1757.87,"Europe","Netherlands: 7.5% win (Rank #7)","Netherlands 🇳🇱"
"Morocco",0.06,6,dark_horse,8,strong,1755.87,"Africa","Morocco: 6% win (Rank #8)","Morocco 🇲🇦"
"Belgium",0.045,4.5,long_shot,9,strong,1734.71,"Europe","Belgium: 4.5% win (Rank #9)","Belgium 🇧🇪"
"Germany",0.03,3,long_shot,10,strong,1730.37,"Europe","Germany: 3% win (Rank #10)","Germany 🇩🇪"
"Croatia",0.015,1.5,long_shot,11,strong,1717.07,"Europe","Croatia: 1.5% win (Rank #11)","Croatia 🇭🇷"
"Colombia",0.001,0.1,long_shot,13,strong,1693.09,"South America","Colombia: 0.1% win (Rank #13)","Colombia 🇨🇴"
"Senegal",0.001,0.1,long_shot,14,strong,1688.99,"Africa","Senegal: 0.1% win (Rank #14)","Senegal 🇸🇳"
"Mexico",0.001,0.1,long_shot,15,strong,1681.03,"North America","Mexico: 0.1% win (Rank #15)","Mexico 🇲🇽"
"United States",0.001,0.1,long_shot,16,average,1673.13,"North America","United States: 0.1% win (Rank #16)","United States ⚽"
"Uruguay",0.001,0.1,long_shot,17,average,1673.07,"South America","Uruguay: 0.1% win (Rank #17)","Uruguay 🇺🇾"
"Japan",0.001,0.1,long_shot,18,average,1660.43,"Asia","Japan: 0.1% win (Rank #18)","Japan 🇯🇵"
"Switzerland",0.001,0.1,long_shot,19,average,1649.4,"Europe","Switzerland: 0.1% win (Rank #19)","Switzerland 🇨🇭"
"Iran",0.001,0.1,long_shot,21,average,1615.3,"Asia","Iran: 0.1% win (Rank #21)","Iran 🇮🇷"
"Turkey",0.001,0.1,long_shot,22,average,1599.04,"Europe","Turkey: 0.1% win (Rank #22)","Turkey ⚽"
