match_id,date,date_int,kickoff_at,team_1,team_2,teams_combined,stage,stadium_id,stadium_name,city,stadium_capacity,stadium_location,month,month_num,day,avg_temp_f,temp_category,weather_conditions,precipitation_chance,rain_risk,match_display,venue_display,weather_display,status,score,winner,summary
M_1,2026-06-11T00:00:00Z,20260611,15:00:00-06,Mexico,South Africa,Mexico|South Africa,Group Stage,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),June,6,11,70,mild,"Mild, Cloudy and Rainy",44,medium,Mexico vs South Africa - Group Stage,Estadio Azteca Mexico City,"70°F Mild, Cloudy and Rainy (44% rain)",completed,2-0,Mexico,Mexico secured a decisive victory over South Africa with a final score of 2-0.
M_2,2026-06-11T00:00:00Z,20260611,22:00:00-06,South Korea,Czechia,South Korea|Czechia,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,11,81,warm,"Warm, Evening Showers",40,medium,South Korea vs Czechia - Group Stage,Estadio Akron Guadalajara,"81°F Warm, Evening Showers (40% rain)",completed,2-1,South Korea,South Korea secured a decisive victory over Czechia with a final score of 2-1.
M_3,2026-06-12T00:00:00Z,20260612,15:00:00-04,Canada,BiH,Canada|BiH,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,12,73,mild,Sunny and Mild,16,low,Canada vs BiH - Group Stage,BMO Field Toronto,73°F Sunny and Mild (16% rain),completed,1-1,Draw,A hard-fought draw ending 1-1 between Canada and BiH.
M_4,2026-06-12T00:00:00Z,20260612,21:00:00-07,USA,Paraguay,USA|Paraguay,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,12,73,mild,Clear and Sunny,0,low,USA vs Paraguay - Group Stage,SoFi Stadium Los Angeles,73°F Clear and Sunny (0% rain),completed,4-1,USA,USA secured a decisive victory over Paraguay with a final score of 4-1.
M_5,2026-06-13T00:00:00Z,20260613,15:00:00-07,Qatar,Switzerland,Qatar|Switzerland,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),June,6,13,72,mild,Mild and Sunny,3,low,Qatar vs Switzerland - Group Stage,Levi's Stadium San Francisco Bay Area,72°F Mild and Sunny (3% rain),completed,1-1,Draw,A hard-fought draw ending 1-1 between Qatar and Switzerland.
M_6,2026-06-13T00:00:00Z,20260613,18:00:00-04,Brazil,Morocco,Brazil|Morocco,Group Stage,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,13,82,warm,Sunny and Warm,24,low,Brazil vs Morocco - Group Stage,MetLife Stadium New York/New Jersey,82°F Sunny and Warm (24% rain),completed,1-1,Draw,A hard-fought draw ending 1-1 between Brazil and Morocco.
M_7,2026-06-13T00:00:00Z,20260613,21:00:00-04,Haiti,Scotland,Haiti|Scotland,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,13,69,mild,Sunny and Mild,20,low,Haiti vs Scotland - Group Stage,Gillette Stadium Boston,69°F Sunny and Mild (20% rain),completed,0-1,Scotland,Scotland secured a decisive victory over Haiti with a final score of 0-1.
M_8,2026-06-14T00:00:00Z,20260614,00:00:00-07,Australia,Türkiye,Australia|Türkiye,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,14,65,mild,"Mild, Overcast Intervals",21,low,Australia vs Türkiye - Group Stage,BC Place Vancouver,"65°F Mild, Overcast Intervals (21% rain)",completed,2-0,Australia,Australia secured a decisive victory over Türkiye with a final score of 2-0.
M_9,2026-06-14T00:00:00Z,20260614,13:00:00-05,Germany,Curaçao,Germany|Curaçao,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,14,88,warm,"Humid, Afternoon Breezes",32,medium,Germany vs Curaçao - Group Stage,NRG Stadium Houston,"88°F Humid, Afternoon Breezes (32% rain)",completed,7-1,Germany,Germany secured a decisive victory over Curaçao with a final score of 7-1.
M_10,2026-06-14T00:00:00Z,20260614,16:00:00-05,Netherlands,Japan,Netherlands|Japan,Group Stage,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,14,92,hot,Hot and Sunny,18,low,Netherlands vs Japan - Group Stage,AT&T Stadium Dallas,92°F Hot and Sunny (18% rain),completed,2-2,Draw,A hard-fought draw ending 2-2 between Netherlands and Japan.
