hotel_id,name,stadium_id,city,price_per_night,price_tier,rating,rating_tier,location,hotel_display,value_score
H_1,"Atlanta City Center Suites",S_1,"Atlanta",270,luxury,4.3,good,"POINT(-84.398179 33.76273)","Atlanta City Center Suites (4.3★) - $270/night",1.6
H_2,"Atlanta Boutique Airbnb",S_1,"Atlanta",106,mid,3.7,good,"POINT(-84.415335 33.740794)","Atlanta Boutique Airbnb (3.7★) - $106/night",3.5
H_3,"Atlanta Grand Plaza",S_1,"Atlanta",235,luxury,4,good,"POINT(-84.386219 33.740323)","Atlanta Grand Plaza (4★) - $235/night",1.7
H_4,"Boston Garden Inn",S_2,"Boston",85,budget,3.7,good,"POINT(-71.256833 42.098209)","Boston Garden Inn (3.7★) - $85/night",4.4
H_5,"Boston City Center Suites",S_2,"Boston",266,luxury,4,good,"POINT(-71.254413 42.083063)","Boston City Center Suites (4★) - $266/night",1.5
H_6,"Boston Boutique Airbnb",S_2,"Boston",156,luxury,4.5,excellent,"POINT(-71.274949 42.101268)","Boston Boutique Airbnb (4.5★) - $156/night",2.9
H_7,"Dallas Airport Express",S_3,"Dallas",92,budget,3.9,good,"POINT(-97.102766 32.766823)","Dallas Airport Express (3.9★) - $92/night",4.2
H_8,"Dallas Garden Inn",S_3,"Dallas",315,luxury,3.8,good,"POINT(-97.099383 32.743034)","Dallas Garden Inn (3.8★) - $315/night",1.2
H_9,"Dallas City Center Suites",S_3,"Dallas",296,luxury,4.5,excellent,"POINT(-97.110892 32.743379)","Dallas City Center Suites (4.5★) - $296/night",1.5
H_10,"Houston Grand Plaza",S_4,"Houston",300,luxury,3.9,good,"POINT(-95.398621 29.668156)","Houston Grand Plaza (3.9★) - $300/night",1.3
H_11,"Houston Airport Express",S_4,"Houston",140,mid,4.7,excellent,"POINT(-95.405362 29.704165)","Houston Airport Express (4.7★) - $140/night",3.4
H_12,"Houston Garden Inn",S_4,"Houston",234,luxury,4.9,excellent,"POINT(-95.393012 29.675158)","Houston Garden Inn (4.9★) - $234/night",2.1
H_13,"Kansas City Boutique Airbnb",S_5,"Kansas City",185,luxury,4.1,good,"POINT(-94.487438 39.058442)","Kansas City Boutique Airbnb (4.1★) - $185/night",2.2
H_14,"Kansas City Grand Plaza",S_5,"Kansas City",94,budget,4.7,excellent,"POINT(-94.477724 39.059003)","Kansas City Grand Plaza (4.7★) - $94/night",5.0
